Length,Key,Mode,time_signature,Danceability,Acousticness,Energy,liveness,loudness,speechiness,valence,tempo,Genere,Classe
137195,1,0,4,0.734,0.559,0.415,0.0918,-8.593,0.0305,0.364,97.954,ACOUSTIC,1
194997,3,1,4,0.483,0.804,0.483,0.0917,-7.322,0.0279,0.626,153.73,ACOUSTIC,1
173400,0,1,4,0.767,0.817,0.26,0.125,-9.315,0.0365,0.718,100.054,ACOUSTIC,1
210716,9,1,4,0.676,0.876,0.0791,0.0972,-12.692,0.033,0.18,95.833,ACOUSTIC,1
254872,4,0,3,0.576,0.845,0.219,0.0875,-11.246,0.0278,0.359,79.81,ACOUSTIC,1
158846,0,0,4,0.482,0.88,0.255,0.11,-11.004,0.0711,0.339,140.037,ACOUSTIC,1
195658,6,0,4,0.532,0.773,0.376,0.1,-7.969,0.044,0.529,170.337,ACOUSTIC,1
184900,6,1,4,0.696,0.793,0.188,0.0986,-14.328,0.0324,0.713,106.433,ACOUSTIC,1
179746,6,0,3,0.347,0.936,0.117,0.134,-17.072,0.0549,0.46,173.601,ACOUSTIC,1
249150,8,1,4,0.601,0.865,0.145,0.111,-12.255,0.0391,0.241,80.803,ACOUSTIC,1
206702,6,1,4,0.527,0.593,0.506,0.116,-4.35,0.0748,0.96,199.949,ACOUSTIC,1
199056,0,1,4,0.761,0.666,0.237,0.155,-9.12,0.0353,0.846,114.103,ACOUSTIC,1
333893,9,1,4,0.412,0.0484,0.902,0.405,-11.6,0.405,0.422,89.74,ROCK,2
227853,0,1,4,0.636,0.0245,0.682,0.147,-7.754,0.0261,0.808,114.19,ROCK,2
168406,4,0,4,0.415,4.52e-05,0.658,0.176,-12.051,0.0696,0.45,163.015,ROCK,2
370373,7,1,4,0.478,0.000265,0.774,0.191,-6.977,0.0292,0.429,112.577,ROCK,2
283733,4,0,4,0.343,0.00163,0.864,0.402,-7.708,0.0565,0.633,148.645,ROCK,2
288053,8,1,4,0.545,0.491,0.467,0.0805,-10.862,0.0305,0.444,113.713,ROCK,2
382834,9,1,1,0.469,0.0241,0.537,0.269,-10.421,0.152,0.783,124.193,ROCK,2
241080,5,1,4,0.63,0.00322,0.788,0.0883,-6.7,0.0298,0.63,120.059,ROCK,2
471160,2,1,4,0.354,0.0817,0.731,0.115,-9.178,0.0381,0.698,170.64,ROCK,2
230720,9,0,4,0.651,0.221,0.665,0.0403,-7.43,0.0269,0.647,97.996,ROCK,2
259800,9,1,4,0.357,0.0828,0.653,0.0844,-5.554,0.0654,0.522,176.647,ROCK,2
181533,3,1,4,0.442,0.00293,0.943,0.091,-3.205,0.0602,0.781,85.064,ROCK,2
377747,9,1,4,0.566,0.565,0.673,0.0438,-10.814,0.306,0.583,114.385,ROCK,2
264307,4,1,4,0.559,0.0576,0.345,0.141,-13.496,0.0459,0.458,84.581,ROCK,2
478173,7,1,4,0.346,0.575,0.335,0.185,-12.453,0.0339,0.213,84.204,ROCK,2
406307,11,1,4,0.274,0.0214,0.949,0.218,-8.642,0.0896,0.497,100.346,ROCK,2
279360,9,1,4,0.458,0.0969,0.869,0.357,-8.381,0.032,0.813,91.39,ROCK,2
210173,7,1,4,0.532,0.00287,0.767,0.39,-5.509,0.0574,0.755,127.361,ROCK,2
210373,2,1,4,0.438,0.262,0.71,0.221,-12.412,0.0919,0.53,145.928,ROCK,2
227267,1,0,4,0.645,0.221,0.598,0.0721,-13.18,0.0335,0.913,105.929,ROCK,2
354320,0,0,4,0.392,0.288,0.402,0.243,-9.961,0.0536,0.228,143.883,ROCK,2
257293,2,1,3,0.349,0.239,0.445,0.0874,-11.689,0.0815,0.425,141.817,ROCK,2
223147,0,0,4,0.53,0.0528,0.964,0.372,-2.571,0.0553,0.823,122.807,ROCK,2
318813,0,1,4,0.299,0.0748,0.443,0.177,-12.621,0.0346,0.434,139.539,ROCK,2
334744,7,1,4,0.481,0.735,0.262,0.832,-15.73,0.0414,0.375,122.883,ROCK,2
289027,2,0,4,0.558,0.321,0.524,0.94,-11.626,0.0459,0.636,93.654,ROCK,2
269813,9,1,4,0.522,0.0517,0.755,0.0781,-6.95,0.0524,0.637,151.796,ROCK,2
345680,2,1,4,0.62,0.717,0.559,0.133,-10.568,0.0369,0.527,129.401,ROCK,2
189960,7,1,4,0.514,0.308,0.692,0.118,-9.964,0.0466,0.897,149.526,ROCK,2
145867,9,1,4,0.421,0.2,0.751,0.17,-9.584,0.0472,0.789,89.839,ROCK,2
270160,7,1,4,0.411,0.21,0.898,0.243,-4.121,0.0417,0.247,90.721,ROCK,2
194440,7,1,4,0.44,0.048,0.565,0.213,-11.657,0.121,0.495,161.124,ROCK,2
448720,0,1,4,0.32,0.64,0.62,0.253,-9.686,0.0594,0.472,86.327,ROCK,2
263333,9,1,4,0.468,0.072,0.607,0.225,-11.367,0.0336,0.886,98.429,ROCK,2
257800,0,1,4,0.829,0.0671,0.487,0.127,-9.751,0.0278,0.776,120.173,ROCK,2
170813,2,1,4,0.533,0.00876,0.905,0.0698,-5.27,0.0754,0.486,108.9,ROCK,2
291686,7,1,4,0.655,0.0603,0.606,0.0757,-10.385,0.0285,0.765,110.061,ROCK,2
243827,9,1,4,0.612,0.337,0.634,0.147,-8.212,0.0319,0.904,121.059,ROCK,2
253773,9,1,4,0.37,0.00677,0.802,0.813,-4.561,0.107,0.374,122.682,ROCK,2
183373,2,1,4,0.588,0.016,0.731,0.333,-8.299,0.0398,0.606,106.177,ROCK,2
287867,9,0,4,0.536,0.000472,0.611,0.143,-11.372,0.0411,0.438,166.766,ROCK,2
287440,8,1,4,0.754,0.273,0.366,0.106,-10.07,0.0312,0.469,91.147,ROCK,2
293653,4,0,4,0.358,0.0222,0.893,0.126,-7.486,0.12,0.262,174.238,ROCK,2
310347,7,0,4,0.423,0.0021,0.954,0.177,-3.157,0.047,0.5,144.553,ROCK,2
289907,11,0,3,0.291,0.00133,0.79,0.0811,-5.683,0.0363,0.513,155.667,ROCK,2
266720,8,1,4,0.445,0.234,0.706,0.205,-9.803,0.0461,0.768,80.823,ROCK,2
241600,0,1,4,0.572,0.171,0.835,0.0702,-6.219,0.0317,0.796,129.994,ROCK,2
547107,0,1,4,0.249,0.0738,0.834,0.0924,-8.21,0.0577,0.338,118.223,ROCK,2
208400,6,0,4,0.573,0.0591,0.913,0.156,-4.793,0.132,0.422,115.715,ROCK,2
230480,4,0,4,0.545,0.00249,0.64,0.196,-9.937,0.224,0.606,80.544,ROCK,2
211578,7,1,4,0.575,0.343,0.67,0.129,-10.39,0.0318,0.74,139.191,ROCK,2
233947,0,1,4,0.225,0.00837,0.951,0.219,-4.654,0.0924,0.471,173.241,ROCK,2
